date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,2,0,0
2020-03-13,0,0,0
2020-03-14,5,0,0
2020-03-15,4,0,0
2020-03-16,4,0,0
2020-03-17,10,0,0
2020-03-18,11,0,0
2020-03-19,7,0,0
2020-03-20,27,0,0
2020-03-21,18,0,0
2020-03-22,35,0,0
2020-03-23,4,0,0
2020-03-24,19,0,0
2020-03-25,6,0,0
2020-03-26,19,0,0
2020-03-27,16,1,0
2020-03-28,8,0,0
2020-03-29,10,0,0
2020-03-30,12,0,0
2020-03-31,9,0,0
2020-04-01,14,1,0
2020-04-02,13,0,0
2020-04-03,14,2,0
2020-04-04,26,2,0
2020-04-05,12,2,0
2020-04-06,14,0,0
2020-04-07,14,0,0
2020-04-08,9,1,0
2020-04-09,37,2,0
2020-04-10,47,1,0
2020-04-11,20,0,0
2020-04-12,32,0,0
2020-04-13,21,2,0
2020-04-14,36,2,0
2020-04-15,13,4,0
2020-04-16,33,0,0
2020-04-17,38,0,0
2020-04-18,29,0,0
2020-04-19,34,2,0
2020-04-20,5,1,0
2020-04-21,17,0,0
2020-04-22,33,6,0
2020-04-23,21,1,0
2020-04-24,47,1,0
2020-04-25,94,0,0
2020-04-26,49,1,0
2020-04-27,31,4,0
2020-04-28,30,0,0
2020-04-29,58,3,0
2020-04-30,98,2,0
2020-05-01,39,3,0
2020-05-02,34,0,0
2020-05-03,20,3,611
2020-05-04,29,2,10
2020-05-05,7,0,0
2020-05-06,27,4,43
2020-05-07,27,0,0
2020-05-08,36,0,0
