date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,1,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,1,0,0
2020-03-21,1,1,0
2020-03-22,0,0,0
2020-03-23,4,0,0
2020-03-24,2,1,0
2020-03-25,2,0,0
2020-03-26,5,0,0
2020-03-27,2,1,1
2020-03-28,5,0,0
2020-03-29,6,0,0
2020-03-30,6,0,0
2020-03-31,3,0,4
2020-04-01,4,1,0
2020-04-02,4,0,0
2020-04-03,10,0,0
2020-04-04,9,0,0
2020-04-05,6,1,2
2020-04-06,5,0,0
2020-04-07,10,1,2
2020-04-08,7,0,0
2020-04-09,12,0,14
2020-04-10,7,0,1
2020-04-11,9,0,2
2020-04-12,5,1,0
2020-04-13,7,1,1
2020-04-14,13,0,2
2020-04-15,7,0,2
2020-04-16,14,0,8
2020-04-17,11,1,0
2020-04-18,8,1,4
2020-04-19,6,0,1
2020-04-20,7,1,5
2020-04-21,6,0,0
2020-04-22,14,0,0
2020-04-23,5,4,37
2020-04-24,8,2,3
2020-04-25,19,0,0
2020-04-26,8,0,28
2020-04-27,3,2,17
2020-04-28,4,0,0
2020-04-29,7,2,30
2020-04-30,11,1,8
2020-05-01,15,0,10
2020-05-02,6,0,0
2020-05-03,22,0,0
2020-05-04,7,0,24
2020-05-05,4,0,15
2020-05-06,7,1,4
2020-05-07,15,0,0
2020-05-08,4,0,9
