date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,2,0,0
2020-03-23,0,0,0
2020-03-24,1,0,0
2020-03-25,3,0,0
2020-03-26,1,0,0
2020-03-27,4,0,0
2020-03-28,1,0,0
2020-03-29,3,0,0
2020-03-30,0,0,0
2020-03-31,5,0,0
2020-04-01,2,0,0
2020-04-02,0,0,0
2020-04-03,2,0,0
2020-04-04,12,0,0
2020-04-05,2,0,0
2020-04-06,9,0,0
2020-04-07,2,1,0
2020-04-08,6,0,0
2020-04-09,4,0,0
2020-04-10,0,0,0
2020-04-11,1,0,0
2020-04-12,0,0,10
2020-04-13,0,0,0
2020-04-14,4,0,0
2020-04-15,5,0,0
2020-04-16,1,0,0
2020-04-17,1,0,0
2020-04-18,1,0,0
2020-04-19,1,0,0
2020-04-20,0,0,0
2020-04-21,2,0,0
2020-04-22,0,0,0
2020-04-23,1,0,0
2020-04-24,3,0,0
2020-04-25,24,0,0
2020-04-26,3,0,0
2020-04-27,2,0,0
2020-04-28,5,0,0
2020-04-29,6,0,0
2020-04-30,3,0,0
2020-05-01,1,0,0
2020-05-02,1,0,0
2020-05-03,0,0,0
2020-05-04,2,0,0
2020-05-05,0,0,0
2020-05-06,2,0,0
2020-05-07,1,0,0
2020-05-08,1,0,0
