date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,1,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,2,0,0
2020-03-24,0,0,0
2020-03-25,2,0,0
2020-03-26,2,0,0
2020-03-27,1,0,0
2020-03-28,0,0,1
2020-03-29,0,0,0
2020-03-30,4,0,0
2020-03-31,4,0,0
2020-04-01,4,0,0
2020-04-02,3,1,0
2020-04-03,1,0,0
2020-04-04,1,0,0
2020-04-05,2,0,3
2020-04-06,2,0,0
2020-04-07,7,0,0
2020-04-08,1,0,0
2020-04-09,0,1,0
2020-04-10,2,0,0
2020-04-11,0,1,4
2020-04-12,0,0,4
2020-04-13,3,0,0
2020-04-14,3,0,0
2020-04-15,1,0,5
2020-04-16,1,0,0
2020-04-17,1,1,0
2020-04-18,1,0,0
2020-04-19,0,0,8
2020-04-20,13,0,1
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,3,0,6
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,3,0,7
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,4,0,6
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,0,0,0
2020-05-06,2,0,4
2020-05-07,0,0,0
2020-05-08,0,0,0
