date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,1,0,0
2020-03-13,2,0,0
2020-03-14,1,0,0
2020-03-15,3,0,0
2020-03-16,3,0,0
2020-03-17,6,0,0
2020-03-18,4,0,0
2020-03-19,11,0,0
2020-03-20,5,0,0
2020-03-21,13,0,0
2020-03-22,33,1,0
2020-03-23,18,0,0
2020-03-24,24,0,0
2020-03-25,29,1,0
2020-03-26,37,0,0
2020-03-27,35,0,0
2020-03-28,37,0,0
2020-03-29,58,0,0
2020-03-30,72,1,0
2020-03-31,92,1,0
2020-04-01,63,1,0
2020-04-02,120,0,0
2020-04-03,142,0,0
2020-04-04,129,3,50
2020-04-05,139,0,3
2020-04-06,112,1,8
2020-04-07,60,0,12
2020-04-08,146,1,0
2020-04-09,98,0,0
2020-04-10,105,1,53
2020-04-11,146,1,17
2020-04-12,94,1,0
2020-04-13,43,0,35
2020-04-14,53,4,18
2020-04-15,114,1,2
2020-04-16,37,1,14
2020-04-17,57,7,0
2020-04-18,59,2,20
2020-04-19,39,0,1
2020-04-20,44,0,50
2020-04-21,47,0,0
2020-04-22,60,0,0
2020-04-23,69,7,90
2020-04-24,57,0,65
2020-04-25,143,0,0
2020-04-26,69,0,48
2020-04-27,64,1,1
2020-04-28,24,0,0
2020-04-29,64,0,106
2020-04-30,73,1,63
2020-05-01,48,0,37
2020-05-02,47,0,0
2020-05-03,37,0,0
2020-05-04,45,3,100
2020-05-05,20,0,0
2020-05-06,41,0,0
2020-05-07,41,0,0
2020-05-08,44,56,158
