date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,3,0,0
2020-03-15,4,0,0
2020-03-16,0,0,0
2020-03-17,4,0,0
2020-03-18,16,0,0
2020-03-19,1,0,0
2020-03-20,22,0,0
2020-03-21,6,0,0
2020-03-22,0,0,0
2020-03-23,45,0,0
2020-03-24,20,1,0
2020-03-25,25,1,0
2020-03-26,75,3,16
2020-03-27,89,1,11
2020-03-28,70,0,0
2020-03-29,34,1,5
2020-03-30,49,1,21
2020-03-31,90,2,0
2020-04-01,50,2,28
2020-04-02,131,7,20
2020-04-03,68,3,40
2020-04-04,143,4,20
2020-04-05,114,1,10
2020-04-06,104,3,52
2020-04-07,72,9,80
2020-04-08,110,7,46
2020-04-09,95,7,11
2020-04-10,66,0,70
2020-04-11,52,4,0
2020-04-12,66,4,49
2020-04-13,37,5,0
2020-04-14,69,7,0
2020-04-15,82,31,0
2020-04-16,139,3,0
2020-04-17,72,8,0
2020-04-18,104,16,0
2020-04-19,65,4,0
2020-04-20,29,27,0
2020-04-21,63,0,0
2020-04-22,221,26,0
2020-04-23,89,0,0
2020-04-24,144,10,0
2020-04-25,35,0,0
2020-04-26,223,9,0
2020-04-27,65,0,0
2020-04-28,28,0,0
2020-04-29,135,40,0
2020-04-30,186,19,0
2020-05-01,71,0,0
2020-05-02,117,0,0
2020-05-03,112,0,0
2020-05-04,92,17,0
2020-05-05,89,25,0
2020-05-06,117,15,0
2020-05-07,128,0,0
2020-05-08,119,23,0
