date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,1,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,1,0,0
2020-03-15,8,0,0
2020-03-16,1,0,0
2020-03-17,3,1,0
2020-03-18,8,0,0
2020-03-19,8,0,0
2020-03-20,6,0,0
2020-03-21,10,0,0
2020-03-22,22,0,0
2020-03-23,13,1,0
2020-03-24,25,1,0
2020-03-25,12,0,0
2020-03-26,30,1,0
2020-03-27,18,0,14
2020-03-28,36,1,9
2020-03-29,21,1,0
2020-03-30,34,2,53
2020-03-31,43,1,0
2020-04-01,59,0,0
2020-04-02,61,1,18
2020-04-03,44,4,9
2020-04-04,48,3,55
2020-04-05,36,2,49
2020-04-06,26,7,4
2020-04-07,22,5,25
2020-04-08,55,3,39
2020-04-09,47,6,0
2020-04-10,44,0,0
2020-04-11,25,0,115
2020-04-12,31,10,1
2020-04-13,25,0,0
2020-04-14,27,6,0
2020-04-15,34,0,0
2020-04-16,48,6,0
2020-04-17,43,0,0
2020-04-18,33,6,35
2020-04-19,24,3,16
2020-04-20,22,10,23
2020-04-21,16,0,0
2020-04-22,42,0,0
2020-04-23,59,10,60
2020-04-24,46,5,172
2020-04-25,68,0,0
2020-04-26,31,10,0
2020-04-27,15,2,0
2020-04-28,40,0,0
2020-04-29,33,5,0
2020-04-30,37,2,0
2020-05-01,37,6,0
2020-05-02,56,0,0
2020-05-03,32,0,0
2020-05-04,29,7,29
2020-05-05,28,0,0
2020-05-06,32,9,94
2020-05-07,33,0,0
2020-05-08,47,6,70
