date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,2,0,0
2020-03-17,0,0,0
2020-03-18,4,0,0
2020-03-19,1,0,0
2020-03-20,6,0,0
2020-03-21,21,0,0
2020-03-22,11,0,0
2020-03-23,8,0,0
2020-03-24,7,1,0
2020-03-25,21,0,0
2020-03-26,30,0,0
2020-03-27,12,0,0
2020-03-28,23,0,0
2020-03-29,48,0,1
2020-03-30,34,0,54
2020-03-31,21,0,0
2020-04-01,28,0,0
2020-04-02,24,1,0
2020-04-03,21,1,32
2020-04-04,27,1,13
2020-04-05,15,1,13
2020-04-06,13,0,0
2020-04-07,20,1,6
2020-04-08,25,0,22
2020-04-09,20,1,13
2020-04-10,14,1,22
2020-04-11,25,1,0
2020-04-12,13,0,0
2020-04-13,26,2,81
2020-04-14,17,0,11
2020-04-15,26,1,5
2020-04-16,16,5,6
2020-04-17,19,0,0
2020-04-18,26,1,51
2020-04-19,13,1,21
2020-04-20,9,2,11
2020-04-21,21,1,0
2020-04-22,0,0,0
2020-04-23,57,1,60
2020-04-24,22,2,63
2020-04-25,0,0,0
2020-04-26,28,0,20
2020-04-27,45,1,13
2020-04-28,0,0,0
2020-04-29,57,4,32
2020-04-30,0,0,0
2020-05-01,71,4,24
2020-05-02,0,0,0
2020-05-03,5,0,0
2020-05-04,136,3,45
2020-05-05,0,0,0
2020-05-06,90,4,13
2020-05-07,0,0,0
2020-05-08,108,24,49
