date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,1,0,0
2020-03-13,2,0,0
2020-03-14,3,0,0
2020-03-15,0,0,0
2020-03-16,5,0,0
2020-03-17,4,0,0
2020-03-18,17,0,0
2020-03-19,19,0,0
2020-03-20,33,0,0
2020-03-21,79,0,0
2020-03-22,84,0,0
2020-03-23,142,0,0
2020-03-24,109,0,0
2020-03-25,140,1,0
2020-03-26,113,0,0
2020-03-27,159,3,0
2020-03-28,232,0,0
2020-03-29,105,1,0
2020-03-30,188,7,0
2020-03-31,125,7,0
2020-04-01,196,6,0
2020-04-02,292,5,0
2020-04-03,422,10,0
2020-04-04,393,11,0
2020-04-05,324,2,0
2020-04-06,346,23,0
2020-04-07,296,17,0
2020-04-08,246,14,0
2020-04-09,234,8,0
2020-04-10,331,17,0
2020-04-11,335,13,0
2020-04-12,52,21,0
2020-04-13,571,5,0
2020-04-14,232,7,0
2020-04-15,134,9,0
2020-04-16,302,3,0
2020-04-17,248,21,0
2020-04-18,0,0,0
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,638,33,0
2020-04-22,184,12,0
2020-04-23,134,12,0
2020-04-24,300,6,0
2020-04-25,203,0,0
2020-04-26,133,0,0
2020-04-27,132,25,0
2020-04-28,136,0,0
2020-04-29,406,12,0
2020-04-30,130,9,0
2020-05-01,128,9,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,244,14,0
2020-05-05,159,11,0
2020-05-06,75,4,0
2020-05-07,103,6,0
2020-05-08,71,3,0
