date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,1,0,0
2020-03-24,0,0,0
2020-03-25,1,0,0
2020-03-26,1,0,0
2020-03-27,3,1,0
2020-03-28,1,0,0
2020-03-29,7,0,0
2020-03-30,3,0,0
2020-03-31,1,0,0
2020-04-01,1,0,0
2020-04-02,2,0,0
2020-04-03,0,0,0
2020-04-04,5,0,0
2020-04-05,3,0,0
2020-04-06,0,0,0
2020-04-07,5,0,0
2020-04-08,4,0,0
2020-04-09,1,0,0
2020-04-10,2,0,0
2020-04-11,2,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,1,1,19
2020-04-15,0,1,2
2020-04-16,0,0,0
2020-04-17,0,1,0
2020-04-18,3,0,0
2020-04-19,1,0,0
2020-04-20,1,0,10
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,1,0,0
2020-04-24,0,0,0
2020-04-25,10,0,0
2020-04-26,0,0,0
2020-04-27,0,0,0
2020-04-28,5,0,0
2020-04-29,1,0,0
2020-04-30,1,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,26
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
