date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,2,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,3,0,0
2020-03-20,7,0,0
2020-03-21,19,0,0
2020-03-22,0,0,0
2020-03-23,14,0,0
2020-03-24,37,0,0
2020-03-25,2,0,0
2020-03-26,10,0,0
2020-03-27,17,0,0
2020-03-28,20,0,0
2020-03-29,13,0,0
2020-03-30,23,5,0
2020-03-31,19,0,0
2020-04-01,27,0,0
2020-04-02,3,2,0
2020-04-03,36,0,0
2020-04-04,31,0,0
2020-04-05,31,0,0
2020-04-06,31,0,0
2020-04-07,57,0,0
2020-04-08,25,0,0
2020-04-09,29,0,0
2020-04-10,31,0,0
2020-04-11,20,0,0
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,127,0,0
2020-04-15,0,0,0
2020-04-16,0,0,0
2020-04-17,98,0,0
2020-04-18,46,0,0
2020-04-19,0,0,0
2020-04-20,29,0,0
2020-04-21,24,0,0
2020-04-22,26,0,0
2020-04-23,43,0,0
2020-04-24,42,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,46,0,0
2020-04-28,0,0,0
2020-04-29,79,0,0
2020-04-30,0,0,0
2020-05-01,48,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,29,0,0
2020-05-05,0,0,0
2020-05-06,52,0,0
2020-05-07,48,0,0
2020-05-08,0,0,0
