date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,2,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,2,0,0
2020-03-10,2,0,0
2020-03-11,0,0,0
2020-03-12,1,0,0
2020-03-13,2,0,0
2020-03-14,3,1,0
2020-03-15,1,0,0
2020-03-16,3,0,0
2020-03-17,6,0,0
2020-03-18,9,0,0
2020-03-19,22,0,0
2020-03-20,48,0,0
2020-03-21,161,0,0
2020-03-22,193,0,0
2020-03-23,137,4,0
2020-03-24,79,0,0
2020-03-25,297,0,0
2020-03-26,229,2,0
2020-03-27,260,1,0
2020-03-28,439,0,0
2020-03-29,313,0,0
2020-03-30,302,10,0
2020-03-31,352,0,0
2020-04-01,458,11,0
2020-04-02,430,13,0
2020-04-03,538,27,0
2020-04-04,583,0,0
2020-04-05,454,20,0
2020-04-06,377,30,0
2020-04-07,287,16,0
2020-04-08,423,19,0
2020-04-09,252,18,0
2020-04-10,457,3,0
2020-04-11,355,25,0
2020-04-12,244,0,0
2020-04-13,244,41,0
2020-04-14,370,22,0
2020-04-15,139,35,0
2020-04-16,278,2,0
2020-04-17,235,34,0
2020-04-18,184,0,0
2020-04-19,193,0,0
2020-04-20,93,47,0
2020-04-21,111,20,0
2020-04-22,131,0,0
2020-04-23,129,35,0
2020-04-24,263,17,0
2020-04-25,1000,0,0
2020-04-26,165,0,0
2020-04-27,110,28,0
2020-04-28,87,0,0
2020-04-29,133,19,0
2020-04-30,122,11,0
2020-05-01,104,8,0
2020-05-02,133,0,0
2020-05-03,80,0,0
2020-05-04,70,17,0
2020-05-05,49,15,0
2020-05-06,60,0,0
2020-05-07,76,6,0
2020-05-08,69,5,0
