date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,2,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,1,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,2,0,0
2020-03-17,4,0,0
2020-03-18,5,0,0
2020-03-19,7,0,0
2020-03-20,3,0,0
2020-03-21,11,0,0
2020-03-22,0,0,0
2020-03-23,18,0,0
2020-03-24,0,0,0
2020-03-25,11,0,0
2020-03-26,9,0,0
2020-03-27,20,1,0
2020-03-28,3,0,0
2020-03-29,12,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,23,0,0
2020-04-02,1,0,0
2020-04-03,9,0,0
2020-04-04,9,0,0
2020-04-05,0,0,0
2020-04-06,3,3,0
2020-04-07,2,0,0
2020-04-08,7,0,0
2020-04-09,10,0,0
2020-04-10,10,0,0
2020-04-11,5,0,0
2020-04-12,9,0,0
2020-04-13,5,0,0
2020-04-14,23,0,121
2020-04-15,3,0,0
2020-04-16,4,0,0
2020-04-17,5,3,0
2020-04-18,8,0,0
2020-04-19,7,0,0
2020-04-20,21,0,0
2020-04-21,5,0,0
2020-04-22,0,0,0
2020-04-23,16,0,0
2020-04-24,15,4,0
2020-04-25,12,0,0
2020-04-26,10,0,0
2020-04-27,6,0,0
2020-04-28,7,0,0
2020-04-29,3,0,0
2020-04-30,8,0,0
2020-05-01,4,0,0
2020-05-02,3,0,0
2020-05-03,0,0,0
2020-05-04,6,0,0
2020-05-05,1,0,0
2020-05-06,3,0,0
2020-05-07,3,0,0
2020-05-08,14,0,0
