date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,1,0,0
2020-03-14,0,0,0
2020-03-15,1,0,0
2020-03-16,2,0,0
2020-03-17,1,0,0
2020-03-18,9,0,0
2020-03-19,0,0,0
2020-03-20,7,0,0
2020-03-21,11,0,0
2020-03-22,0,0,0
2020-03-23,12,1,0
2020-03-24,0,0,0
2020-03-25,11,0,0
2020-03-26,7,0,0
2020-03-27,4,0,0
2020-03-28,6,0,0
2020-03-29,4,0,0
2020-03-30,4,0,0
2020-03-31,5,0,0
2020-04-01,8,0,0
2020-04-02,8,4,20
2020-04-03,9,0,0
2020-04-04,7,1,1
2020-04-05,11,1,0
2020-04-06,10,0,0
2020-04-07,7,0,0
2020-04-08,4,0,0
2020-04-09,18,0,0
2020-04-10,24,0,0
2020-04-11,3,0,0
2020-04-12,5,0,21
2020-04-13,5,1,21
2020-04-14,31,0,0
2020-04-15,2,0,0
2020-04-16,8,0,0
2020-04-17,50,6,26
2020-04-18,0,0,17
2020-04-19,0,0,0
2020-04-20,41,0,16
2020-04-21,16,0,0
2020-04-22,0,0,0
2020-04-23,21,1,76
2020-04-24,17,0,10
2020-04-25,41,0,0
2020-04-26,18,0,0
2020-04-27,8,7,50
2020-04-28,12,0,0
2020-04-29,10,0,0
2020-04-30,22,0,0
2020-05-01,13,5,60
2020-05-02,7,0,0
2020-05-03,0,0,0
2020-05-04,14,1,49
2020-05-05,2,0,0
2020-05-06,14,0,0
2020-05-07,0,0,0
2020-05-08,7,0,0
