date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,2,0,0
2020-03-21,0,0,0
2020-03-22,2,0,0
2020-03-23,1,0,0
2020-03-24,3,0,0
2020-03-25,3,0,0
2020-03-26,0,0,0
2020-03-27,1,0,0
2020-03-28,1,0,0
2020-03-29,4,0,0
2020-03-30,2,0,0
2020-03-31,5,0,0
2020-04-01,14,0,0
2020-04-02,5,0,0
2020-04-03,3,0,0
2020-04-04,14,0,0
2020-04-05,13,1,12
2020-04-06,2,3,0
2020-04-07,0,1,0
2020-04-08,12,1,0
2020-04-09,5,0,18
2020-04-10,25,0,0
2020-04-11,30,4,5
2020-04-12,7,1,3
2020-04-13,2,0,0
2020-04-14,4,5,6
2020-04-15,11,0,0
2020-04-16,5,3,12
2020-04-17,5,2,0
2020-04-18,10,2,37
2020-04-19,4,4,0
2020-04-20,1,0,3
2020-04-21,18,0,0
2020-04-22,0,0,0
2020-04-23,1,6,8
2020-04-24,2,0,0
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,8,2,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,6,2,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,8,0,0
2020-05-05,0,0,0
2020-05-06,2,0,0
2020-05-07,0,0,0
2020-05-08,0,0,0
