date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,1,0,0
2020-03-09,0,0,0
2020-03-10,3,0,0
2020-03-11,0,0,0
2020-03-12,16,0,0
2020-03-13,8,0,0
2020-03-14,13,0,0
2020-03-15,6,0,0
2020-03-16,27,2,0
2020-03-17,23,1,0
2020-03-18,55,0,0
2020-03-19,87,0,0
2020-03-20,220,4,0
2020-03-21,203,2,0
2020-03-22,372,3,0
2020-03-23,424,1,0
2020-03-24,422,4,0
2020-03-25,380,3,0
2020-03-26,475,2,0
2020-03-27,650,8,0
2020-03-28,753,7,0
2020-03-29,885,3,0
2020-03-30,768,4,0
2020-03-31,922,9,0
2020-04-01,892,16,0
2020-04-02,1141,15,0
2020-04-03,1408,12,0
2020-04-04,1216,28,0
2020-04-05,1759,51,107
2020-04-06,1056,24,0
2020-04-07,1376,64,73
2020-04-08,1447,60,130
2020-04-09,1795,39,139
2020-04-10,0,52,132
2020-04-11,1518,44,160
2020-04-12,613,60,164
2020-04-13,1106,50,125
2020-04-14,979,40,108
2020-04-15,689,45,174
2020-04-16,1104,40,152
2020-04-17,685,44,112
2020-04-18,1307,44,123
2020-04-19,681,44,124
2020-04-20,758,34,90
2020-04-21,458,29,68
2020-04-22,153,38,0
2020-04-23,1413,33,131
2020-04-24,1027,34,132
2020-04-25,74,49,0
2020-04-26,691,28,109
2020-04-27,1227,32,69
2020-04-28,132,29,44
2020-04-29,661,24,111
2020-04-30,723,22,114
2020-05-01,478,26,98
2020-05-02,805,24,112
2020-05-03,0,29,0
2020-05-04,1452,17,33
2020-05-05,715,23,37
2020-05-06,733,226,85
2020-05-07,804,25,88
2020-05-08,694,21,0
