date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,1,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,11,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,11,0,0
2020-03-24,0,0,0
2020-03-25,16,0,0
2020-03-26,14,0,0
2020-03-27,15,0,0
2020-03-28,4,0,0
2020-03-29,16,0,0
2020-03-30,18,1,0
2020-03-31,12,0,0
2020-04-01,23,3,0
2020-04-02,15,1,0
2020-04-03,32,0,0
2020-04-04,5,0,0
2020-04-05,0,0,0
2020-04-06,60,1,0
2020-04-07,17,1,0
2020-04-08,26,0,0
2020-04-09,0,0,0
2020-04-10,22,0,0
2020-04-11,22,0,132
2020-04-12,18,0,0
2020-04-13,22,1,113
2020-04-14,35,1,37
2020-04-15,9,1,0
2020-04-16,13,1,0
2020-04-17,68,0,0
2020-04-18,22,0,0
2020-04-19,10,0,0
2020-04-20,23,2,0
2020-04-21,32,1,38
2020-04-22,0,0,0
2020-04-23,38,3,26
2020-04-24,39,0,28
2020-04-25,20,0,0
2020-04-26,35,0,0
2020-04-27,24,4,46
2020-04-28,21,0,0
2020-04-29,45,1,18
2020-04-30,24,0,0
2020-05-01,49,0,63
2020-05-02,44,0,0
2020-05-03,0,0,0
2020-05-04,45,1,35
2020-05-05,8,0,0
2020-05-06,12,0,0
2020-05-07,25,0,0
2020-05-08,18,0,0
