date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,1,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,3,0,0
2020-03-13,1,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,2,0,0
2020-03-17,1,0,0
2020-03-18,1,0,0
2020-03-19,0,0,0
2020-03-20,3,0,0
2020-03-21,6,0,0
2020-03-22,0,0,0
2020-03-23,17,0,0
2020-03-24,0,0,0
2020-03-25,30,0,0
2020-03-26,13,0,0
2020-03-27,20,0,0
2020-03-28,37,0,0
2020-03-29,51,1,0
2020-03-30,21,0,0
2020-03-31,10,2,0
2020-04-01,5,0,0
2020-04-02,21,0,0
2020-04-03,23,1,0
2020-04-04,52,0,0
2020-04-05,40,0,0
2020-04-06,24,0,0
2020-04-07,16,1,0
2020-04-08,64,2,0
2020-04-09,0,1,0
2020-04-10,68,0,0
2020-04-11,125,3,0
2020-04-12,0,0,0
2020-04-13,61,0,0
2020-04-14,29,2,10
2020-04-15,59,0,41
2020-04-16,41,2,0
2020-04-17,35,1,0
2020-04-18,41,0,3
2020-04-19,39,0,0
2020-04-20,37,0,83
2020-04-21,21,1,12
2020-04-22,31,2,5
2020-04-23,46,2,7
2020-04-24,48,2,0
2020-04-25,23,0,0
2020-04-26,24,0,0
2020-04-27,99,1,79
2020-04-28,0,0,0
2020-04-29,20,6,130
2020-04-30,0,0,0
2020-05-01,49,7,165
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,56,7,43
2020-05-05,2,0,4
2020-05-06,25,5,22
2020-05-07,33,2,25
2020-05-08,8,3,3
