date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,1,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,1,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,6,0,0
2020-03-28,5,0,0
2020-03-29,5,0,0
2020-03-30,0,0,0
2020-03-31,0,0,0
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-03,1,0,0
2020-04-04,1,0,0
2020-04-05,5,0,0
2020-04-06,1,0,0
2020-04-07,5,0,0
2020-04-08,2,0,0
2020-04-09,7,0,0
2020-04-10,3,0,0
2020-04-11,1,0,0
2020-04-12,2,0,0
2020-04-13,2,0,0
2020-04-14,29,0,0
2020-04-15,0,0,0
2020-04-16,4,0,0
2020-04-17,10,0,0
2020-04-18,3,0,0
2020-04-19,2,0,0
2020-04-20,5,0,0
2020-04-21,1,0,0
2020-04-22,6,0,0
2020-04-23,11,0,0
2020-04-24,3,0,0
2020-04-25,10,0,0
2020-04-26,3,0,0
2020-04-27,12,0,0
2020-04-28,3,0,0
2020-04-29,2,0,0
2020-04-30,24,0,0
2020-05-01,6,0,0
2020-05-02,3,0,0
2020-05-03,0,0,0
2020-05-04,7,0,0
2020-05-05,0,0,0
2020-05-06,1,0,0
2020-05-07,0,0,0
2020-05-08,6,0,0
