date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,1,0,0
2020-03-20,0,0,0
2020-03-21,2,0,0
2020-03-22,0,0,0
2020-03-23,3,0,0
2020-03-24,0,0,0
2020-03-25,1,0,0
2020-03-26,1,0,0
2020-03-27,3,0,0
2020-03-28,1,0,0
2020-03-29,0,0,0
2020-03-30,3,0,0
2020-03-31,5,0,0
2020-04-01,4,0,0
2020-04-02,3,0,0
2020-04-03,3,0,0
2020-04-04,0,0,0
2020-04-05,2,0,0
2020-04-06,2,0,0
2020-04-07,1,0,0
2020-04-08,4,0,0
2020-04-09,0,0,0
2020-04-10,2,0,0
2020-04-11,1,0,12
2020-04-12,0,0,0
2020-04-13,0,0,0
2020-04-14,6,0,0
2020-04-15,0,0,4
2020-04-16,1,0,0
2020-04-17,0,0,0
2020-04-18,0,0,0
2020-04-19,1,0,0
2020-04-20,0,0,0
2020-04-21,1,0,0
2020-04-22,1,0,0
2020-04-23,8,0,19
2020-04-24,1,0,0
2020-04-25,4,0,0
2020-04-26,0,0,0
2020-04-27,4,1,0
2020-04-28,1,0,0
2020-04-29,0,0,0
2020-04-30,1,0,0
2020-05-01,1,0,11
2020-05-02,1,0,0
2020-05-03,0,0,0
2020-05-04,3,1,3
2020-05-05,0,0,0
2020-05-06,0,0,0
2020-05-07,2,0,0
2020-05-08,1,0,0
