date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,9,0,0
2020-03-05,8,0,0
2020-03-06,16,0,0
2020-03-07,36,0,0
2020-03-08,13,0,0
2020-03-09,16,0,0
2020-03-10,10,0,0
2020-03-11,13,0,0
2020-03-12,27,0,0
2020-03-13,10,0,0
2020-03-14,20,0,0
2020-03-15,18,0,0
2020-03-16,24,0,0
2020-03-17,160,0,0
2020-03-18,158,0,0
2020-03-19,260,0,0
2020-03-20,293,0,0
2020-03-21,296,0,0
2020-03-22,486,3,0
2020-03-23,1021,0,0
2020-03-24,997,3,0
2020-03-25,800,0,0
2020-03-26,1253,0,0
2020-03-27,1243,4,0
2020-03-28,688,0,0
2020-03-29,644,0,0
2020-03-30,807,15,0
2020-03-31,641,0,0
2020-04-01,716,39,0
2020-04-02,884,3,0
2020-04-03,784,10,0
2020-04-04,730,120,0
2020-04-05,642,34,0
2020-04-06,571,0,0
2020-04-07,510,52,0
2020-04-08,1083,32,0
2020-04-09,1117,44,0
2020-04-10,1073,30,0
2020-04-11,652,50,0
2020-04-12,584,72,0
2020-04-13,473,44,0
2020-04-14,405,33,9371
2020-04-15,756,12,0
2020-04-16,881,68,0
2020-04-17,648,25,0
2020-04-18,703,25,0
2020-04-19,624,32,0
2020-04-20,503,26,0
2020-04-21,350,33,0
2020-04-22,620,29,0
2020-04-23,683,25,0
2020-04-24,674,28,0
2020-04-25,598,29,0
2020-04-26,433,26,0
2020-04-27,343,16,0
2020-04-28,238,21,0
2020-04-29,381,23,0
2020-04-30,344,25,0
2020-05-01,262,18,0
2020-05-02,394,18,0
2020-05-03,258,19,0
2020-05-04,213,15,0
2020-05-05,143,15,0
2020-05-06,186,51,0
2020-05-07,282,17,0
2020-05-08,197,7,0
