,COUNTY,STATE,COUNTYFIPS,num_hospital,num_beds
0,ABBEVILLE,SC,45001,1,25
1,ACADIA,LA,22001,6,-2938
2,ADA,ID,16001,11,-1643
3,ADAIR,IA,19001,1,25
4,ADAIR,KY,21001,1,77
5,ADAIR,MO,29001,1,93
6,ADAMS,CO,08001,7,-283
7,ADAMS,IA,19003,1,22
8,ADAMS,IL,17001,2,-664
9,ADAMS,IN,18001,1,35
10,ADAMS,MS,28001,2,280
11,ADAMS,ND,38001,1,25
12,ADAMS,NE,31001,1,161
13,ADAMS,OH,39001,1,25
14,ADAMS,PA,42001,1,76
15,ADAMS,WA,53001,2,57
16,ADAMS,WI,55001,1,25
17,ADDISON,VT,50001,1,25
18,AGUADILLA,PR,72005,1,154
19,AIBONITO,PR,72009,1,-999
20,AIKEN,SC,45003,1,245
21,AITKIN,MN,27001,1,25
22,ALACHUA,FL,12001,6,1765
23,ALAMANCE,NC,37001,1,238
24,ALAMEDA,CA,06001,26,2761
25,ALAMOSA,CO,08003,1,44
26,ALBANY,NY,36001,7,-617
27,ALBANY,WY,56001,1,99
28,ALBEMARLE,VA,51003,4,285
29,ALCORN,MS,28003,1,200
30,ALEUTIANS WEST,AK,02016,1,-999
31,ALEXANDER,NC,37003,1,25
32,ALEXANDRIA,VA,51510,1,318
33,ALGER,MI,26003,1,11
34,ALLAMAKEE,IA,19005,1,25
35,ALLEGAN,MI,26005,2,68
36,ALLEGANY,MD,24001,2,451
37,ALLEGANY,NY,36003,2,76
38,ALLEGHANY,NC,37005,1,41
39,ALLEGHANY,VA,51005,1,205
40,ALLEGHENY,PA,42003,31,5404
41,ALLEN,IN,18003,11,535
42,ALLEN,KS,20001,2,-974
43,ALLEN,KY,21003,1,25
44,ALLEN,LA,22003,2,76
45,ALLEN,OH,39003,5,830
46,ALLENDALE,SC,45005,1,25
47,ALPENA,MI,26007,1,124
48,AMADOR,CA,06005,1,52
49,ANCHORAGE,AK,02020,9,-2009
50,ANDERSON,KS,20003,1,41
51,ANDERSON,SC,45007,4,755
52,ANDERSON,TN,47001,1,301
53,ANDERSON,TX,48001,2,156
54,ANDREWS,TX,48003,1,34
55,ANDROSCOGGIN,ME,23001,2,483
56,ANGELINA,TX,48005,4,470
57,ANNE ARUNDEL,MD,24003,2,673
58,ANOKA,MN,27003,1,275
59,ANSON,NC,37007,2,162
60,ANTELOPE,NE,31003,2,37
61,APACHE,AZ,04001,4,-1953
62,APPANOOSE,IA,19007,1,45
63,APPLING,GA,13001,1,49
64,ARAPAHOE,CO,08005,9,-980
65,ARCHULETA,CO,08007,1,11
66,ARECIBO,PR,72013,2,326
67,ARENAC,MI,26011,1,25
68,ARKANSAS,AR,05001,2,-974
69,ARLINGTON,VA,51013,1,334
70,ARMSTRONG,PA,42005,1,155
71,AROOSTOOK,ME,23003,6,256
72,ARROYO,PR,72015,1,38
73,ASCENSION,LA,22005,4,-952
74,ASHE,NC,37009,1,76
75,ASHLAND,OH,39005,1,123
76,ASHLAND,WI,55003,1,35
77,ASHLEY,AR,05003,1,33
78,ASHTABULA,OH,39007,5,429
79,ASOTIN,WA,53003,1,25
80,ASSUMPTION,LA,22007,1,6
81,ATASCOSA,TX,48013,1,67
82,ATCHISON,KS,20005,1,25
83,ATCHISON,MO,29005,1,18
84,ATHENS,OH,39009,3,245
85,ATLANTIC,NJ,34001,9,1573
86,ATOKA,OK,40005,1,25
87,ATTALA,MS,28007,1,25
88,AUDRAIN,MO,29007,1,88
89,AUDUBON,IA,19009,1,25
90,AUGLAIZE,OH,39011,1,140
91,AUGUSTA,VA,51015,1,255
92,AUSTIN,TX,48015,1,32
93,AUTAUGA,AL,01001,1,85
94,AVERY,NC,37011,1,50
