date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,2,0
2020-03-13,2,0
2020-03-14,7,0
2020-03-15,7,0
2020-03-16,15,0
2020-03-17,25,0
2020-03-18,36,0
2020-03-19,43,0
2020-03-20,70,0
2020-03-21,88,0
2020-03-22,123,0
2020-03-23,127,0
2020-03-24,146,0
2020-03-25,152,0
2020-03-26,171,0
2020-03-27,187,0
2020-03-28,195,0
2020-03-29,205,1
2020-03-30,217,1
2020-03-31,226,1
2020-04-01,240,1
2020-04-02,253,2
2020-04-03,267,2
2020-04-04,293,6
2020-04-05,305,8
2020-04-06,319,8
2020-04-07,333,8
2020-04-08,342,9
2020-04-09,379,11
2020-04-10,426,11
2020-04-11,446,12
2020-04-12,478,12
2020-04-13,499,14
2020-04-14,535,16
