date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,2,0
2020-03-22,3,1
2020-03-23,3,1
2020-03-24,9,1
2020-03-25,11,2
2020-03-26,16,2
2020-03-27,18,2
2020-03-28,23,3
2020-03-29,29,3
2020-03-30,35,3
2020-03-31,38,3
2020-04-01,42,3
2020-04-02,46,4
2020-04-03,56,4
2020-04-04,65,4
2020-04-05,71,5
2020-04-06,76,5
2020-04-07,86,6
2020-04-08,93,6
2020-04-09,105,6
2020-04-10,112,6
2020-04-11,117,6
2020-04-12,126,6
2020-04-13,133,8
2020-04-14,146,8
