date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,2,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,7,0
2020-03-27,11,0
2020-03-28,12,0
2020-03-29,15,0
2020-03-30,15,0
2020-03-31,20,0
2020-04-01,22,0
2020-04-02,22,0
2020-04-03,35,0
2020-04-04,36,0
2020-04-05,38,0
2020-04-06,47,0
2020-04-07,49,0
2020-04-08,55,1
2020-04-09,59,1
2020-04-10,59,1
2020-04-11,60,1
2020-04-12,60,1
2020-04-13,60,1
2020-04-14,64,1
