date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,3,0
2020-03-27,4,0
2020-03-28,8,0
2020-03-29,15,0
2020-03-30,17,0
2020-03-31,19,0
2020-04-01,26,0
2020-04-02,28,0
2020-04-03,32,0
2020-04-04,39,0
2020-04-05,43,0
2020-04-06,46,0
2020-04-07,51,0
2020-04-08,53,0
2020-04-09,55,0
2020-04-10,60,0
2020-04-11,61,0
2020-04-12,63,0
2020-04-13,65,0
2020-04-14,68,0
