date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,3,0
2020-03-21,4,0
2020-03-22,4,0
2020-03-23,4,0
2020-03-24,6,0
2020-03-25,10,0
2020-03-26,11,0
2020-03-27,11,0
2020-03-28,12,0
2020-03-29,13,0
2020-03-30,17,0
2020-03-31,21,0
2020-04-01,25,0
2020-04-02,25,0
2020-04-03,30,0
2020-04-04,31,0
2020-04-05,33,0
2020-04-06,36,0
2020-04-07,37,0
2020-04-08,39,0
2020-04-09,40,0
2020-04-10,43,0
2020-04-11,43,2
2020-04-12,43,2
2020-04-13,44,3
2020-04-14,45,3
