date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,3,0
2020-03-21,7,0
2020-03-22,17,0
2020-03-23,17,0
2020-03-24,18,0
2020-03-25,19,0
2020-03-26,24,0
2020-03-27,27,0
2020-03-28,30,1
2020-03-29,30,1
2020-03-30,36,1
2020-03-31,36,1
2020-04-01,41,1
2020-04-02,45,1
2020-04-03,51,2
2020-04-04,57,2
2020-04-05,69,3
2020-04-06,70,3
2020-04-07,72,4
2020-04-08,76,4
2020-04-09,83,5
2020-04-10,84,5
2020-04-11,87,7
2020-04-12,87,7
2020-04-13,93,9
2020-04-14,93,9
