date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,1,0
2020-03-13,3,0
2020-03-14,4,0
2020-03-15,4,0
2020-03-16,10,0
2020-03-17,16,0
2020-03-18,20,0
2020-03-19,31,0
2020-03-20,36,0
2020-03-21,49,0
2020-03-22,82,0
2020-03-23,100,1
2020-03-24,124,1
2020-03-25,153,1
2020-03-26,190,1
2020-03-27,225,1
2020-03-28,262,2
2020-03-29,320,2
2020-03-30,392,2
2020-03-31,484,3
2020-04-01,547,4
2020-04-02,667,5
2020-04-03,809,5
2020-04-04,938,5
2020-04-05,1077,8
2020-04-06,1189,9
2020-04-07,1249,9
2020-04-08,1395,10
2020-04-09,1493,10
2020-04-10,1598,10
2020-04-11,1744,11
2020-04-12,1838,12
2020-04-13,1881,13
2020-04-14,1934,17
