date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,3,0
2020-03-15,3,0
2020-03-16,7,0
2020-03-17,11,0
2020-03-18,20,0
2020-03-19,28,0
2020-03-20,47,0
2020-03-21,50,0
2020-03-22,56,0
2020-03-23,87,0
2020-03-24,114,0
2020-03-25,122,1
2020-03-26,206,2
2020-03-27,245,5
2020-03-28,318,6
2020-03-29,414,7
2020-03-30,443,7
2020-03-31,499,8
2020-04-01,582,11
2020-04-02,617,12
2020-04-03,734,19
2020-04-04,808,22
2020-04-05,1059,27
2020-04-06,1148,30
2020-04-07,1234,39
2020-04-08,1335,45
2020-04-09,1432,51
2020-04-10,1498,53
2020-04-11,1506,53
2020-04-12,1571,57
2020-04-13,1661,66
2020-04-14,1730,73
