date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,2,0
2020-03-28,5,0
2020-03-29,6,0
2020-03-30,6,0
2020-03-31,6,0
2020-04-01,9,0
2020-04-02,9,0
2020-04-03,10,0
2020-04-04,10,0
2020-04-05,10,0
2020-04-06,10,0
2020-04-07,10,0
2020-04-08,10,0
2020-04-09,11,0
2020-04-10,11,0
2020-04-11,11,0
2020-04-12,12,0
2020-04-13,12,0
2020-04-14,13,0
