date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,2,0
2020-03-17,2,0
2020-03-18,2,0
2020-03-19,2,0
2020-03-20,2,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,4,0
2020-03-25,4,0
2020-03-26,5,0
2020-03-27,6,0
2020-03-28,7,0
2020-03-29,7,0
2020-03-30,10,0
2020-03-31,10,0
2020-04-01,18,0
2020-04-02,21,0
2020-04-03,23,0
2020-04-04,24,0
2020-04-05,24,0
2020-04-06,24,0
2020-04-07,24,0
2020-04-08,25,0
2020-04-09,31,0
2020-04-10,34,0
2020-04-11,37,0
2020-04-12,44,0
2020-04-13,45,0
2020-04-14,66,0
