date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,1,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,3,0
2020-03-22,3,0
2020-03-23,3,0
2020-03-24,4,0
2020-03-25,5,0
2020-03-26,7,0
2020-03-27,9,0
2020-03-28,9,1
2020-03-29,10,2
2020-03-30,12,2
2020-03-31,12,2
2020-04-01,12,2
2020-04-02,14,2
2020-04-03,14,2
2020-04-04,18,3
2020-04-05,22,3
2020-04-06,25,3
2020-04-07,27,3
2020-04-08,29,3
2020-04-09,32,3
2020-04-10,36,3
2020-04-11,37,3
2020-04-12,37,3
2020-04-13,38,3
2020-04-14,39,3
