date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,1,0
2020-03-24,4,1
2020-03-25,7,1
2020-03-26,9,1
2020-03-27,17,1
2020-03-28,28,1
2020-03-29,29,1
2020-03-30,42,1
2020-03-31,49,1
2020-04-01,62,2
2020-04-02,68,2
2020-04-03,77,2
2020-04-04,78,2
2020-04-05,89,2
2020-04-06,92,2
2020-04-07,92,2
2020-04-08,92,3
2020-04-09,102,3
2020-04-10,102,3
2020-04-11,102,3
2020-04-12,105,3
2020-04-13,110,3
2020-04-14,110,3
