date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,2,0
2020-03-13,1,0
2020-03-14,2,0
2020-03-15,2,0
2020-03-16,11,0
2020-03-17,14,1
2020-03-18,19,1
2020-03-19,30,1
2020-03-20,36,1
2020-03-21,46,1
2020-03-22,68,1
2020-03-23,81,2
2020-03-24,106,3
2020-03-25,118,3
2020-03-26,148,4
2020-03-27,166,4
2020-03-28,202,5
2020-03-29,219,5
2020-03-30,246,6
2020-03-31,257,8
2020-04-01,349,9
2020-04-02,420,9
2020-04-03,464,10
2020-04-04,512,14
2020-04-05,548,19
2020-04-06,574,26
2020-04-07,596,31
2020-04-08,651,34
2020-04-09,698,40
2020-04-10,742,40
2020-04-11,767,40
2020-04-12,798,40
2020-04-13,823,50
2020-04-14,850,56
