date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,2,0
2020-03-19,2,0
2020-03-20,2,0
2020-03-21,3,0
2020-03-22,3,0
2020-03-23,3,0
2020-03-24,3,0
2020-03-25,4,0
2020-03-26,5,0
2020-03-27,5,0
2020-03-28,6,0
2020-03-29,6,0
2020-03-30,6,0
2020-03-31,6,0
2020-04-01,7,0
2020-04-02,8,0
2020-04-03,10,0
2020-04-04,13,0
2020-04-05,15,1
2020-04-06,15,1
2020-04-07,18,1
2020-04-08,18,1
2020-04-09,28,1
2020-04-10,29,1
2020-04-11,29,1
2020-04-12,29,1
2020-04-13,29,1
2020-04-14,32,1
