date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,1,0
2020-03-06,1,0
2020-03-07,4,0
2020-03-08,5,0
2020-03-09,17,0
2020-03-10,19,0
2020-03-11,28,0
2020-03-12,41,0
2020-03-13,51,0
2020-03-14,68,0
2020-03-15,79,0
2020-03-16,109,0
2020-03-17,140,1
2020-03-18,278,1
2020-03-19,372,3
2020-03-20,754,4
2020-03-21,1234,4
2020-03-22,1900,4
2020-03-23,2442,4
2020-03-24,2869,9
2020-03-25,3285,17
2020-03-26,3914,17
2020-03-27,4657,19
2020-03-28,5537,27
2020-03-29,6445,39
2020-03-30,7344,39
2020-03-31,8544,48
2020-04-01,9554,76
2020-04-02,10587,76
2020-04-03,12024,95
2020-04-04,13346,95
2020-04-05,14398,162
2020-04-06,15616,162
2020-04-07,16610,500
2020-04-08,18548,500
2020-04-09,20140,633
2020-04-10,21512,723
2020-04-11,22584,792
2020-04-12,23553,846
2020-04-13,24358,910
2020-04-14,25250,1001
