date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,4,0
2020-03-20,4,0
2020-03-21,9,0
2020-03-22,9,0
2020-03-23,9,0
2020-03-24,10,0
2020-03-25,12,0
2020-03-26,14,0
2020-03-27,23,0
2020-03-28,33,0
2020-03-29,38,0
2020-03-30,41,0
2020-03-31,41,0
2020-04-01,46,0
2020-04-02,91,0
2020-04-03,94,0
2020-04-04,101,0
2020-04-05,116,0
2020-04-06,120,0
2020-04-07,126,1
2020-04-08,155,1
2020-04-09,155,4
2020-04-10,156,4
2020-04-11,167,4
2020-04-12,194,4
2020-04-13,194,5
2020-04-14,216,5
