date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,1,0
2020-03-17,2,0
2020-03-18,6,0
2020-03-19,7,0
2020-03-20,13,0
2020-03-21,34,0
2020-03-22,45,0
2020-03-23,53,0
2020-03-24,60,1
2020-03-25,81,1
2020-03-26,111,1
2020-03-27,123,1
2020-03-28,146,1
2020-03-29,194,1
2020-03-30,228,1
2020-03-31,249,1
2020-04-01,277,1
2020-04-02,301,2
2020-04-03,322,3
2020-04-04,349,4
2020-04-05,364,5
2020-04-06,377,5
2020-04-07,397,6
2020-04-08,422,6
2020-04-09,422,7
2020-04-10,456,8
2020-04-11,456,8
2020-04-12,494,9
2020-04-13,520,11
2020-04-14,537,11
