date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,2,0
2020-03-13,3,0
2020-03-14,6,0
2020-03-15,6,0
2020-03-16,11,0
2020-03-17,15,0
2020-03-18,32,0
2020-03-19,51,0
2020-03-20,84,0
2020-03-21,163,0
2020-03-22,247,0
2020-03-23,389,0
2020-03-24,498,0
2020-03-25,638,1
2020-03-26,751,1
2020-03-27,910,1
2020-03-28,1101,4
2020-03-29,1247,5
2020-03-30,1435,5
2020-03-31,1556,5
2020-04-01,1756,19
2020-04-02,1993,19
2020-04-03,2397,30
2020-04-04,2741,40
2020-04-05,3187,53
2020-04-06,3533,76
2020-04-07,3829,93
2020-04-08,4075,107
2020-04-09,4309,115
2020-04-10,4532,115
2020-04-11,4847,132
2020-04-12,5027,145
2020-04-13,5598,171
2020-04-14,5830,178
