date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,2,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,4,0
2020-03-27,4,0
2020-03-28,9,0
2020-03-29,10,0
2020-03-30,15,0
2020-03-31,15,0
2020-04-01,20,0
2020-04-02,23,0
2020-04-03,28,0
2020-04-04,28,0
2020-04-05,32,0
2020-04-06,34,0
2020-04-07,34,2
2020-04-08,34,2
2020-04-09,36,2
2020-04-10,36,2
2020-04-11,37,2
2020-04-12,42,2
2020-04-13,42,2
2020-04-14,42,2
