date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,2,0
2020-03-17,2,0
2020-03-18,2,0
2020-03-19,5,0
2020-03-20,12,0
2020-03-21,31,0
2020-03-22,31,0
2020-03-23,31,0
2020-03-24,82,0
2020-03-25,84,0
2020-03-26,94,0
2020-03-27,111,0
2020-03-28,131,0
2020-03-29,144,0
2020-03-30,167,0
2020-03-31,167,0
2020-04-01,207,0
2020-04-02,216,0
2020-04-03,252,7
2020-04-04,283,7
2020-04-05,314,7
2020-04-06,345,7
2020-04-07,402,7
2020-04-08,427,7
2020-04-09,456,7
2020-04-10,487,7
2020-04-11,494,7
2020-04-12,507,7
2020-04-13,507,7
2020-04-14,634,7
