date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,1,0
2020-03-18,4,0
2020-03-19,4,0
2020-03-20,8,0
2020-03-21,20,0
2020-03-22,20,0
2020-03-23,20,0
2020-03-24,33,0
2020-03-25,33,0
2020-03-26,44,0
2020-03-27,44,0
2020-03-28,51,0
2020-03-29,51,0
2020-03-30,52,0
2020-03-31,54,0
2020-04-01,55,0
2020-04-02,60,0
2020-04-03,67,0
2020-04-04,67,0
2020-04-05,74,1
2020-04-06,74,2
2020-04-07,88,3
2020-04-08,88,3
2020-04-09,102,5
2020-04-10,102,5
2020-04-11,102,5
2020-04-12,102,5
2020-04-13,113,6
2020-04-14,140,6
