date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,2,0
2020-03-08,2,0
2020-03-09,4,0
2020-03-10,4,0
2020-03-11,6,0
2020-03-12,7,0
2020-03-13,9,0
2020-03-14,10,1
2020-03-15,12,1
2020-03-16,16,1
2020-03-17,22,1
2020-03-18,31,1
2020-03-19,53,1
2020-03-20,101,1
2020-03-21,262,1
2020-03-22,455,1
2020-03-23,592,1
2020-03-24,671,5
2020-03-25,968,5
2020-03-26,1197,5
2020-03-27,1457,7
2020-03-28,1896,8
2020-03-29,2209,8
2020-03-30,2511,8
2020-03-31,2863,8
2020-04-01,3321,18
2020-04-02,3751,18
2020-04-03,4289,42
2020-04-04,4872,69
2020-04-05,5326,69
2020-04-06,5703,119
2020-04-07,5990,135
2020-04-08,6413,154
2020-04-09,6665,172
2020-04-10,7122,200
2020-04-11,7477,200
2020-04-12,7721,200
2020-04-13,7965,241
2020-04-14,8335,263
