date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,2,0
2020-03-08,2,0
2020-03-09,2,0
2020-03-10,2,0
2020-03-11,2,0
2020-03-12,3,0
2020-03-13,3,0
2020-03-14,3,0
2020-03-15,3,0
2020-03-16,5,0
2020-03-17,9,0
2020-03-18,14,0
2020-03-19,14,0
2020-03-20,21,0
2020-03-21,35,0
2020-03-22,35,0
2020-03-23,35,0
2020-03-24,53,0
2020-03-25,64,0
2020-03-26,73,0
2020-03-27,82,0
2020-03-28,96,0
2020-03-29,102,0
2020-03-30,108,1
2020-03-31,108,1
2020-04-01,122,1
2020-04-02,132,1
2020-04-03,141,1
2020-04-04,141,1
2020-04-05,150,1
2020-04-06,153,4
2020-04-07,155,4
2020-04-08,162,4
2020-04-09,172,4
2020-04-10,182,4
2020-04-11,187,4
2020-04-12,196,4
2020-04-13,201,4
2020-04-14,224,4
