date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,4,0
2020-03-17,5,0
2020-03-18,14,0
2020-03-19,14,0
2020-03-20,14,0
2020-03-21,32,0
2020-03-22,32,0
2020-03-23,32,0
2020-03-24,44,0
2020-03-25,55,1
2020-03-26,62,1
2020-03-27,66,1
2020-03-28,72,1
2020-03-29,76,1
2020-03-30,80,1
2020-03-31,85,1
2020-04-01,93,1
2020-04-02,101,1
2020-04-03,110,5
2020-04-04,117,5
2020-04-05,128,7
2020-04-06,138,7
2020-04-07,145,7
2020-04-08,149,7
2020-04-09,167,7
2020-04-10,191,7
2020-04-11,194,7
2020-04-12,199,7
2020-04-13,204,8
2020-04-14,235,8
