date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,4,0
2020-03-27,4,0
2020-03-28,8,0
2020-03-29,12,0
2020-03-30,13,0
2020-03-31,23,0
2020-04-01,34,0
2020-04-02,39,0
2020-04-03,43,0
2020-04-04,52,0
2020-04-05,61,0
2020-04-06,61,0
2020-04-07,61,0
2020-04-08,78,0
2020-04-09,82,0
2020-04-10,82,0
2020-04-11,82,0
2020-04-12,88,0
2020-04-13,89,0
2020-04-14,92,0
