date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,2,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,4,0
2020-03-24,8,0
2020-03-25,8,0
2020-03-26,11,0
2020-03-27,12,0
2020-03-28,13,0
2020-03-29,17,0
2020-03-30,19,0
2020-03-31,19,0
2020-04-01,38,0
2020-04-02,43,0
2020-04-03,46,0
2020-04-04,60,0
2020-04-05,73,1
2020-04-06,75,4
2020-04-07,75,5
2020-04-08,87,6
2020-04-09,92,6
2020-04-10,117,6
2020-04-11,117,6
2020-04-12,147,10
2020-04-13,147,11
2020-04-14,147,16
