date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,1,0
2020-03-09,1,0
2020-03-10,1,0
2020-03-11,6,0
2020-03-12,20,0
2020-03-13,28,0
2020-03-14,33,0
2020-03-15,41,0
2020-03-16,74,2
2020-03-17,97,3
2020-03-18,116,3
2020-03-19,239,3
2020-03-20,459,7
2020-03-21,662,9
2020-03-22,1034,9
2020-03-23,1458,13
2020-03-24,1880,17
2020-03-25,2260,20
2020-03-26,2735,22
2020-03-27,3385,30
2020-03-28,4138,30
2020-03-29,5023,40
2020-03-30,5791,40
2020-03-31,6713,44
2020-04-01,7605,53
2020-04-02,8746,69
2020-04-03,10154,84
2020-04-04,11370,124
2020-04-05,13129,175
2020-04-06,14185,199
2020-04-07,15561,263
2020-04-08,17008,323
2020-04-09,18803,362
2020-04-10,20320,414
2020-04-11,20321,458
2020-04-12,20934,518
2020-04-13,21643,568
2020-04-14,22691,608
