date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,12,0
2020-03-22,12,0
2020-03-23,12,0
2020-03-24,23,0
2020-03-25,39,0
2020-03-26,53,0
2020-03-27,64,0
2020-03-28,72,0
2020-03-29,88,0
2020-03-30,101,0
2020-03-31,106,1
2020-04-01,121,1
2020-04-02,143,4
2020-04-03,168,5
2020-04-04,193,5
2020-04-05,193,5
2020-04-06,253,6
2020-04-07,270,7
2020-04-08,296,7
2020-04-09,296,7
2020-04-10,318,7
2020-04-11,340,7
2020-04-12,358,7
2020-04-13,380,8
2020-04-14,415,9
