date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,2,0
2020-03-17,2,0
2020-03-18,6,0
2020-03-19,6,0
2020-03-20,11,0
2020-03-21,11,0
2020-03-22,15,0
2020-03-23,15,0
2020-03-24,16,0
2020-03-25,18,0
2020-03-26,23,0
2020-03-27,32,0
2020-03-28,48,0
2020-03-29,56,0
2020-03-30,70,0
2020-03-31,73,0
2020-04-01,76,0
2020-04-02,80,0
2020-04-03,87,0
2020-04-04,93,0
2020-04-05,95,0
2020-04-06,102,0
2020-04-07,103,0
2020-04-08,105,0
2020-04-09,107,0
2020-04-10,107,0
2020-04-11,108,0
2020-04-12,113,0
2020-04-13,113,0
2020-04-14,113,0
