date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,1,0
2020-03-09,1,0
2020-03-10,1,0
2020-03-11,2,0
2020-03-12,4,0
2020-03-13,5,0
2020-03-14,5,0
2020-03-15,5,0
2020-03-16,7,0
2020-03-17,8,0
2020-03-18,9,0
2020-03-19,9,0
2020-03-20,9,0
2020-03-21,18,0
2020-03-22,18,0
2020-03-23,18,0
2020-03-24,35,0
2020-03-25,65,0
2020-03-26,78,0
2020-03-27,98,0
2020-03-28,133,0
2020-03-29,146,0
2020-03-30,190,0
2020-03-31,207,0
2020-04-01,222,3
2020-04-02,240,3
2020-04-03,263,3
2020-04-04,290,4
2020-04-05,358,4
2020-04-06,382,4
2020-04-07,398,5
2020-04-08,462,7
2020-04-09,462,8
2020-04-10,530,8
2020-04-11,589,8
2020-04-12,655,11
2020-04-13,716,11
2020-04-14,716,13
