date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,25,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,18,4
2020-03-20,449,4
2020-03-21,0,0
2020-03-22,23,38
2020-03-23,107,36
2020-03-24,0,39
2020-03-25,0,31
2020-03-26,0,45
2020-03-27,0,87
2020-03-28,0,109
2020-03-29,0,159
2020-03-30,0,298
2020-03-31,0,468
2020-04-01,0,565
2020-04-02,0,675
2020-04-03,0,623
2020-04-04,0,427
2020-04-05,0,338
2020-04-06,0,309
2020-04-07,0,116
2020-04-08,0,152
2020-04-09,0,73
2020-04-10,0,0
2020-04-11,0,4
2020-04-12,0,40
2020-04-13,0,0
2020-04-14,0,0
