date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,3,0
2020-03-25,4,0
2020-03-26,4,0
2020-03-27,6,0
2020-03-28,9,0
2020-03-29,9,0
2020-03-30,9,0
2020-03-31,9,0
2020-04-01,11,0
2020-04-02,12,0
2020-04-03,15,0
2020-04-04,16,0
2020-04-05,18,1
2020-04-06,19,1
2020-04-07,19,1
2020-04-08,20,1
2020-04-09,25,1
2020-04-10,26,1
2020-04-11,31,1
2020-04-12,34,1
2020-04-13,37,1
2020-04-14,40,1
