date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,1,0
2020-03-04,10,0
2020-03-05,18,0
2020-03-06,19,0
2020-03-07,57,0
2020-03-08,83,0
2020-03-09,98,0
2020-03-10,98,0
2020-03-11,121,0
2020-03-12,148,0
2020-03-13,158,0
2020-03-14,172,0
2020-03-15,178,0
2020-03-16,220,0
2020-03-17,380,0
2020-03-18,538,0
2020-03-19,798,0
2020-03-20,1091,0
2020-03-21,1387,0
2020-03-22,1873,0
2020-03-23,2894,0
2020-03-24,3891,1
2020-03-25,4691,1
2020-03-26,5944,1
2020-03-27,7187,1
2020-03-28,7875,10
2020-03-29,8519,10
2020-03-30,9326,10
2020-03-31,9967,10
2020-04-01,10683,25
2020-04-02,11567,64
2020-04-03,12351,67
2020-04-04,13081,67
2020-04-05,13723,67
2020-04-06,14294,211
2020-04-07,14294,211
2020-04-08,15887,283
2020-04-09,17004,359
2020-04-10,18077,389
2020-04-11,18729,461
2020-04-12,19313,511
2020-04-13,19786,557
2020-04-14,20191,596
