,FIPS,Name,State,Latitudes,Longitudes
0,10001,Kent,DE,39.1440612,-75.4344727
1,10003,New Castle,DE,39.6620397,-75.5668166
2,10005,Sussex,DE,38.65308410000001,-75.4344727
3,11001,Washington,DC,38.9071923,-77.0368707
4,12001,Alachua,FL,29.7938144,-82.49442260000001
5,12005,Bay,FL,30.1805306,-85.684578
6,12007,Bradford,FL,29.97238179999999,-82.1713632
7,12009,Brevard,FL,28.263933,-80.7214417
8,12011,Broward,FL,26.190096,-80.365865
9,12015,Charlotte,FL,26.8946009,-81.909826
10,12017,Citrus,FL,28.8848842,-82.5185837
11,12019,Clay,FL,29.9943564,-81.77870209999999
12,12021,Collier,FL,26.069985,-81.42789839999999
13,12023,Columbia,FL,30.1812696,-82.605118
14,12027,De Soto,FL,27.2142078,-81.77870209999999
15,12031,Duval,FL,30.3500511,-81.6035062
16,12033,Escambia,FL,30.6389408,-87.3413599
17,12035,Flagler,FL,29.4086072,-81.2518833
18,12039,Gadsden,FL,30.5562947,-84.6479124
19,12043,Glades,FL,26.984415,-81.0754657
20,12045,Gulf,FL,29.8001623,-85.35496499999999
21,12053,Hernando,FL,28.8999815,-82.37454009999999
22,12055,Highlands,FL,27.3400286,-81.34002679999999
23,12057,Hillsborough,FL,27.9903597,-82.3017728
24,12061,Indian River,FL,27.6947732,-80.54384499999999
25,12063,Jackson,FL,30.3321838,-81.65565099999999
26,12067,Lafayette,FL,30.0299573,-83.2077645
27,12069,Lake,FL,28.702847,-81.77870209999999
28,12071,Lee,FL,30.4196584,-83.30042159999999
29,12073,Leon,FL,30.4906177,-84.1857115
30,12075,Levy,FL,29.3178545,-82.82097399999999
31,12079,Madison,FL,30.4693772,-83.41292539999999
32,12081,Manatee,FL,27.4799195,-82.34518899999999
33,12083,Marion,FL,29.2787765,-82.12783999999999
34,12085,Martin,FL,27.0804935,-80.4103957
35,12086,Miami-Dade,FL,25.5516034,-80.6326916
36,12087,Monroe,FL,24.5557001,-81.78259849999999
37,12089,Nassau,FL,30.5927334,-81.8224362
38,12091,Okaloosa,FL,30.57734009999999,-86.6611083
39,12093,Okeechobee,FL,27.2439349,-80.82978279999999
40,12095,Orange,FL,28.9488761,-81.2986741
41,12097,Osceola,FL,28.1019838,-81.0754657
42,12099,Palm Beach,FL,26.7056206,-80.0364297
43,12101,Pasco,FL,28.3232418,-82.4319405
44,12103,Pinellas,FL,27.876394,-82.7778579
45,12105,Polk,FL,27.8617347,-81.6911559
46,12107,Putnam,FL,29.6265157,-81.77870209999999
47,12109,St Johns,FL,30.0820653,-81.5471201
48,12111,St Lucie,FL,27.499208,-80.34219840000002
49,12113,Santa Rosa,FL,30.3960324,-86.2288322
50,12115,Sarasota,FL,27.3364347,-82.53065269999999
