	AreaName	Total area in square miles 1990	Total area in square miles 2000	Land area in square miles 1980	Land area in square miles 1990	Land area in square miles 2000	Land area in square miles 2010	Water area in square miles 1990	Water area in square miles 2000	county	state
0	UNITED STATES	3787425.08	3794083.06	3539289.16	3536341.73	3537438.44	3531905.43	251083.35	256644.62		
1	ALABAMA	52422.94	52419.02	50767.18	50750.23	50744.0	50645.33	1672.71	1675.01		
2	Autauga, AL	604.49	604.45	597.04	596.01	595.97	594.44	8.48	8.48	Autauga	 AL
3	Baldwin, AL	2027.08	2026.93	1589.42	1596.53	1596.35	1589.78	430.55	430.58	Baldwin	 AL
4	Barbour, AL	904.59	904.52	883.89	885.0	884.9	884.88	19.59	19.61	Barbour	 AL
5	Bibb, AL	625.5	626.16	624.97	622.36	623.03	622.58	3.14	3.14	Bibb	 AL
6	Blount, AL	650.65	650.6	643.3	645.68	645.59	644.78	4.97	5.02	Blount	 AL
7	Bullock, AL	626.11	626.06	624.82	625.07	625.01	622.81	1.04	1.04	Bullock	 AL
8	Butler, AL	777.99	777.92	779.14	776.94	776.87	776.83	1.05	1.05	Butler	 AL
9	Calhoun, AL	612.35	612.32	610.96	608.5	608.46	605.87	3.85	3.86	Calhoun	 AL
10	Chambers, AL	603.15	603.11	595.69	597.4	597.17	596.53	5.75	5.94	Chambers	 AL
11	Cherokee, AL	600.0	599.95	553.31	553.17	553.12	553.7	46.83	46.83	Cherokee	 AL
12	Chilton, AL	700.8	700.76	694.51	694.06	693.98	692.85	6.74	6.78	Chilton	 AL
13	Choctaw, AL	920.91	920.85	909.44	913.58	913.51	913.5	7.33	7.34	Choctaw	 AL
14	Clarke, AL	1252.6	1252.51	1230.17	1238.47	1238.38	1238.47	14.13	14.13	Clarke	 AL
15	Clay, AL	606.05	606.0	605.06	605.12	605.07	603.96	0.93	0.93	Clay	 AL
16	Cleburne, AL	561.06	561.02	560.67	560.2	560.21	560.1	0.86	0.81	Cleburne	 AL
17	Coffee, AL	680.52	680.48	680.23	679.19	678.99	678.97	1.33	1.49	Coffee	 AL
18	Colbert, AL	623.66	623.61	589.1	594.58	594.53	592.62	29.08	29.08	Colbert	 AL
19	Conecuh, AL	852.58	852.51	853.98	850.87	850.79	850.16	1.71	1.71	Conecuh	 AL
20	Coosa, AL	666.41	666.36	657.18	652.49	652.44	650.93	13.92	13.91	Coosa	 AL
21	Covington, AL	1043.95	1043.86	1037.99	1034.73	1033.82	1030.46	9.22	10.05	Covington	 AL
22	Crenshaw, AL	610.91	610.88	610.82	609.62	609.58	608.84	1.29	1.3	Crenshaw	 AL
23	Cullman, AL	754.86	754.82	737.81	738.48	738.43	734.84	16.38	16.39	Cullman	 AL
24	Dale, AL	562.72	562.67	561.29	561.12	561.07	561.15	1.6	1.6	Dale	 AL
25	Dallas, AL	993.46	993.37	975.17	980.8	980.71	978.7	12.66	12.66	Dallas	 AL
26	DeKalb, AL	778.71	778.65	778.18	777.98	777.91	777.09	0.73	0.74	DeKalb	 AL
27	Elmore, AL	657.26	657.21	622.45	621.58	621.26	618.49	35.68	35.96	Elmore	 AL
28	Escambia, AL	953.04	952.95	950.82	947.47	947.38	945.08	5.57	5.57	Escambia	 AL
29	Etowah, AL	548.81	548.75	542.32	534.84	534.82	534.99	13.97	13.93	Etowah	 AL
30	Fayette, AL	629.38	629.34	629.63	627.81	627.66	627.66	1.57	1.68	Fayette	 AL
31	Franklin, AL	646.55	646.51	642.7	635.68	635.64	633.82	10.87	10.86	Franklin	 AL
32	Geneva, AL	578.96	578.9	577.86	576.38	576.28	574.41	2.58	2.62	Geneva	 AL
33	Greene, AL	659.99	659.93	630.68	645.96	645.87	647.11	14.03	14.07	Greene	 AL
34	Hale, AL	656.52	656.47	660.71	643.78	643.74	643.94	12.74	12.74	Hale	 AL
35	Henry, AL	568.38	568.33	556.63	561.96	561.8	561.75	6.42	6.53	Henry	 AL
36	Houston, AL	581.71	581.65	577.04	580.41	580.36	579.82	1.3	1.29	Houston	 AL
37	Jackson, AL	1126.82	1126.77	1069.64	1078.8	1078.74	1077.87	48.02	48.02	Jackson	 AL
38	Jefferson, AL	1123.87	1123.8	1119.08	1112.67	1112.61	1111.28	11.2	11.2	Jefferson	 AL
39	Lamar, AL	605.51	605.47	604.95	604.89	604.85	604.85	0.62	0.62	Lamar	 AL
40	Lauderdale, AL	718.84	718.78	661.4	669.52	669.46	667.7	49.32	49.32	Lauderdale	 AL
41	Lawrence, AL	718.13	718.07	693.37	693.45	693.38	690.68	24.68	24.68	Lawrence	 AL
42	Lee, AL	615.61	615.55	609.34	608.79	608.71	607.54	6.82	6.84	Lee	 AL
