County,State_Name,State,Fipcode,Population
Autauga,Alabama,AL,1001,"55,869"
Baldwin,Alabama,AL,1003,"223,234"
Barbour,Alabama,AL,1005,"24,686"
Bibb,Alabama,AL,1007,"22,394"
Blount,Alabama,AL,1009,"57,826"
Bullock,Alabama,AL,1011,"10,101"
Butler,Alabama,AL,1013,"19,448"
Calhoun,Alabama,AL,1015,"113,605"
Chambers,Alabama,AL,1017,"33,254"
Cherokee,Alabama,AL,1019,"26,196"
Chilton,Alabama,AL,1021,"44,428"
Choctaw,Alabama,AL,1023,"12,589"
Clarke,Alabama,AL,1025,"23,622"
Clay,Alabama,AL,1027,"13,235"
Cleburne,Alabama,AL,1029,"14,910"
Coffee,Alabama,AL,1031,"52,342"
Colbert,Alabama,AL,1033,"55,241"
Conecuh,Alabama,AL,1035,"12,067"
Coosa,Alabama,AL,1037,"10,663"
Covington,Alabama,AL,1039,"37,049"
Crenshaw,Alabama,AL,1041,"13,772"
Cullman,Alabama,AL,1043,"83,768"
Dale,Alabama,AL,1045,"49,172"
Dallas,Alabama,AL,1047,"37,196"
De Kalb,Alabama,AL,1049,"71,513"
Elmore,Alabama,AL,1051,"81,209"
Escambia,Alabama,AL,1053,"36,633"
Etowah,Alabama,AL,1055,"102,268"
Fayette,Alabama,AL,1057,"16,302"
Franklin,Alabama,AL,1059,"31,362"
Geneva,Alabama,AL,1061,"26,271"
Greene,Alabama,AL,1063,"8,111"
Hale,Alabama,AL,1065,"14,651"
Henry,Alabama,AL,1067,"17,205"
Houston,Alabama,AL,1069,"105,882"
Jackson,Alabama,AL,1071,"51,626"
Jefferson,Alabama,AL,1073,"658,573"
Lamar,Alabama,AL,1075,"13,805"
Lauderdale,Alabama,AL,1077,"92,729"
Lawrence,Alabama,AL,1079,"32,924"
Lee,Alabama,AL,1081,"164,542"
Limestone,Alabama,AL,1083,"98,915"
Lowndes,Alabama,AL,1085,"9,726"
Macon,Alabama,AL,1087,"18,068"
Madison,Alabama,AL,1089,"372,909"
Marengo,Alabama,AL,1091,"18,863"
Marion,Alabama,AL,1093,"29,709"
Marshall,Alabama,AL,1095,"96,774"
Mobile,Alabama,AL,1097,"413,210"
Monroe,Alabama,AL,1099,"20,733"
Montgomery,Alabama,AL,1101,"226,486"
Morgan,Alabama,AL,1103,"119,679"
Perry,Alabama,AL,1105,"8,923"
Pickens,Alabama,AL,1107,"19,930"
Pike,Alabama,AL,1109,"33,114"
Randolph,Alabama,AL,1111,"22,722"
Russell,Alabama,AL,1113,"57,961"
St Clair,Alabama,AL,1115,"89,512"
Shelby,Alabama,AL,1117,"217,702"
Sumter,Alabama,AL,1119,"12,427"
Talladega,Alabama,AL,1121,"79,978"
Tallapoosa,Alabama,AL,1123,"40,367"
Tuscaloosa,Alabama,AL,1125,"209,355"
Walker,Alabama,AL,1127,"63,521"
Washington,Alabama,AL,1129,"16,326"
Wilcox,Alabama,AL,1131,"10,373"
Winston,Alabama,AL,1133,"23,629"
Aleutians East,Alaska,AK,2013,"3,337"
Aleutians West,Alaska,AK,2016,"5,634"
Anchorage,Alaska,AK,2020,"288,000"
Bethel,Alaska,AK,2050,"18,386"
Bristol Bay,Alaska,AK,2060,836
Denali,Alaska,AK,2068,"2,097"
Dillingham,Alaska,AK,2070,"4,916"
Fairbanks North Star,Alaska,AK,2090,"96,849"
Haines,Alaska,AK,2100,"2,530"
Juneau,Alaska,AK,2110,"31,974"
Kenai Peninsula,Alaska,AK,2122,"58,708"
Ketchikan Gateway,Alaska,AK,2130,"13,901"
Kodiak Island,Alaska,AK,2150,"12,998"
Lake and Peninsula,Alaska,AK,2164,"1,592"
Matanuska-Susitna,Alaska,AK,2170,"108,317"
Nome,Alaska,AK,2180,"10,004"
North Slope,Alaska,AK,2185,"9,832"
Northwest Arctic,Alaska,AK,2188,"7,621"
Prince of Wales-Outer Ketchikan,Alaska,AK,2201,"6,203"
Sitka,Alaska,AK,2220,"8,493"
Skagway-Hoonah-Angoon,Alaska,AK,2232,"1,183"
Southeast Fairbanks,Alaska,AK,2240,"6,893"
Valdez-Cordova,Alaska,AK,2261,"9,202"
Wrangell-Petersburg,Alaska,AK,2280,"2,502"
Yakutat,Alaska,AK,2282,579
Yukon-Koyukuk,Alaska,AK,2290,"5,230"
Apache,Arizona,AZ,4001,"71,887"
Cochise,Arizona,AZ,4003,"125,922"
Coconino,Arizona,AZ,4005,"143,476"
Gila,Arizona,AZ,4007,"54,018"
Graham,Arizona,AZ,4009,"38,837"
Greenlee,Arizona,AZ,4011,"9,498"
La Paz,Arizona,AZ,4012,"21,108"
Maricopa,Arizona,AZ,4013,"4,485,414"
Mohave,Arizona,AZ,4015,"212,181"
Navajo,Arizona,AZ,4017,"110,924"
Pima,Arizona,AZ,4019,"1,047,279"
Pinal,Arizona,AZ,4021,"462,789"
Santa Cruz,Arizona,AZ,4023,"46,498"
Yavapai,Arizona,AZ,4025,"235,099"
Yuma,Arizona,AZ,4027,"213,787"
Arkansas,Arkansas,AR,5001,"17,486"
Ashley,Arkansas,AR,5003,"19,657"
Baxter,Arkansas,AR,5005,"41,932"
Benton,Arkansas,AR,5007,"279,141"
Boone,Arkansas,AR,5009,"37,432"
Bradley,Arkansas,AR,5011,"10,763"
Calhoun,Arkansas,AR,5013,"5,189"
Carroll,Arkansas,AR,5015,"28,380"
Chicot,Arkansas,AR,5017,"10,118"
Clark,Arkansas,AR,5019,"22,320"
Clay,Arkansas,AR,5021,"14,551"
Cleburne,Arkansas,AR,5023,"24,919"
Cleveland,Arkansas,AR,5025,"7,956"
Columbia,Arkansas,AR,5027,"23,457"
Conway,Arkansas,AR,5029,"20,846"
Craighead,Arkansas,AR,5031,"110,332"
Crawford,Arkansas,AR,5033,"63,257"
Crittenden,Arkansas,AR,5035,"47,955"
Cross,Arkansas,AR,5037,"16,419"
Dallas,Arkansas,AR,5039,"7,009"
Desha,Arkansas,AR,5041,"11,361"
Drew,Arkansas,AR,5043,"18,219"
Faulkner,Arkansas,AR,5045,"126,007"
Franklin,Arkansas,AR,5047,"17,715"
Fulton,Arkansas,AR,5049,"12,477"
Garland,Arkansas,AR,5051,"99,386"
Grant,Arkansas,AR,5053,"18,265"
Greene,Arkansas,AR,5055,"45,325"
Hempstead,Arkansas,AR,5057,"21,532"
Hot Spring,Arkansas,AR,5059,"33,771"
Howard,Arkansas,AR,5061,"13,202"
Independence,Arkansas,AR,5063,"37,825"
Izard,Arkansas,AR,5065,"13,629"
Jackson,Arkansas,AR,5067,"16,719"
Jefferson,Arkansas,AR,5069,"66,824"
Johnson,Arkansas,AR,5071,"26,578"
Lafayette,Arkansas,AR,5073,"6,624"
Lawrence,Arkansas,AR,5075,"16,406"
Lee,Arkansas,AR,5077,"8,857"
Lincoln,Arkansas,AR,5079,"13,024"
Little River,Arkansas,AR,5081,"12,259"
